Coordinate1,Coordinate2,Energy
0.9000,92.5000,-75.99868
0.9000,95.0000,-76.00085
0.9000,97.5000,-76.00258
0.9000,100.0000,-76.00389
0.9000,102.5000,-76.00478
0.9000,105.0000,-76.00528
0.9000,107.5000,-76.00540
0.9000,110.0000,-76.00516
0.9000,112.5000,-76.00457
0.9000,115.0000,-76.00367
0.9000,117.5000,-76.00245
0.9100,92.5000,-76.00111
0.9100,95.0000,-76.00322
0.9100,97.5000,-76.00488
0.9100,100.0000,-76.00613
0.9100,102.5000,-76.00697
0.9100,105.0000,-76.00741
0.9100,107.5000,-76.00748
0.9100,110.0000,-76.00720
0.9100,112.5000,-76.00657
0.9100,115.0000,-76.00561
0.9100,117.5000,-76.00436
0.9200,92.5000,-76.00297
0.9200,95.0000,-76.00502
0.9200,97.5000,-76.00662
0.9200,100.0000,-76.00781
0.9200,102.5000,-76.00860
0.9200,105.0000,-76.00899
0.9200,107.5000,-76.00901
0.9200,110.0000,-76.00868
0.9200,112.5000,-76.00800
0.9200,115.0000,-76.00701
0.9200,117.5000,-76.00571
0.9300,92.5000,-76.00431
0.9300,95.0000,-76.00629
0.9300,97.5000,-76.00784
0.9300,100.0000,-76.00897
0.9300,102.5000,-76.00970
0.9300,105.0000,-76.01005
0.9300,107.5000,-76.01002
0.9300,110.0000,-76.00964
0.9300,112.5000,-76.00892
0.9300,115.0000,-76.00788
0.9300,117.5000,-76.00654
0.9400,92.5000,-76.00516
0.9400,95.0000,-76.00707
0.9400,97.5000,-76.00856
0.9400,100.0000,-76.00964
0.9400,102.5000,-76.01032
0.9400,105.0000,-76.01061
0.9400,107.5000,-76.01054
0.9400,110.0000,-76.01011
0.9400,112.5000,-76.00935
0.9400,115.0000,-76.00827
0.9400,117.5000,-76.00688
0.9500,92.5000,-76.00554
0.9500,95.0000,-76.00739
0.9500,97.5000,-76.00883
0.9500,100.0000,-76.00985
0.9500,102.5000,-76.01048
0.9500,105.0000,-76.01073
0.9500,107.5000,-76.01061
0.9500,110.0000,-76.01013
0.9500,112.5000,-76.00933
0.9500,115.0000,-76.00820
0.9500,117.5000,-76.00678
0.9600,92.5000,-76.00549
0.9600,95.0000,-76.00729
0.9600,97.5000,-76.00867
0.9600,100.0000,-76.00964
0.9600,102.5000,-76.01021
0.9600,105.0000,-76.01041
0.9600,107.5000,-76.01025
0.9600,110.0000,-76.00973
0.9600,112.5000,-76.00888
0.9600,115.0000,-76.00772
0.9600,117.5000,-76.00625
0.9700,92.5000,-76.00505
0.9700,95.0000,-76.00678
0.9700,97.5000,-76.00810
0.9700,100.0000,-76.00902
0.9700,102.5000,-76.00955
0.9700,105.0000,-76.00970
0.9700,107.5000,-76.00949
0.9700,110.0000,-76.00893
0.9700,112.5000,-76.00804
0.9700,115.0000,-76.00684
0.9700,117.5000,-76.00534
0.9800,92.5000,-76.00423
0.9800,95.0000,-76.00590
0.9800,97.5000,-76.00717
0.9800,100.0000,-76.00804
0.9800,102.5000,-76.00852
0.9800,105.0000,-76.00862
0.9800,107.5000,-76.00837
0.9800,110.0000,-76.00777
0.9800,112.5000,-76.00684
0.9800,115.0000,-76.00559
0.9800,117.5000,-76.00405
0.9900,92.5000,-76.00306
0.9900,95.0000,-76.00468
0.9900,97.5000,-76.00589
0.9900,100.0000,-76.00671
0.9900,102.5000,-76.00714
0.9900,105.0000,-76.00720
0.9900,107.5000,-76.00690
0.9900,110.0000,-76.00626
0.9900,112.5000,-76.00529
0.9900,115.0000,-76.00401
0.9900,117.5000,-76.00243
1.0000,92.5000,-76.00156
1.0000,95.0000,-76.00312
1.0000,97.5000,-76.00428
1.0000,100.0000,-76.00505
1.0000,102.5000,-76.00543
1.0000,105.0000,-76.00545
1.0000,107.5000,-76.00511
1.0000,110.0000,-76.00443
1.0000,112.5000,-76.00342
1.0000,115.0000,-76.00210
1.0000,117.5000,-76.00049
